id,label_en
Q94559,محمد النفس الزكيه
Q94563,موسى الجون  الحسني
Q94593,أم فروة- فاطمة  بنت القاسم
Q94609,علی السلطان‌
Q94649,محبه بنت عمرو بن علی بن الحسین(ع)
Q94671,الأمير عبيد الله الأول الأعرج
Q94834,خلیفه سوم از خلفای راشدین عثمان بن عفان
Q94842,عبدالرحمن  بن أبي بكر الصديق
Q94926,إدريس الأنور
Q94956,عبد الله شاه غازي
Q94962,عبد الله الصالح  الحسني
Q94978,موسى بن جعفر الكاظم
Q94980,علي العريضي  الحسيني
Q95157,علي  بن عبدالله
Q95167,علي السجاد
Q95169,عبد الله
Q95171,سليمان
Q95245,داعی کبیر - حسن بن زید - امام حسن مجتبی(ع)
Q95303,محمد
Q95361,موسى الثاني  الحسني
Q95389,بن الإمام جعفر الصادق
Q95414,سید ابو القاسم حمزه
Q95422,الشريف إبراهيم المرتضى  بن الإمام موسى الكاظم
Q95474,الشريف أبو الحسنيه أحمد الشعراني  بن أبي الحسن علي العريضي
Q95601,عبيد الله الثاني
Q95658,محمد  بن علي
Q95674,منصور دوانیقی
Q95676,الخليفة أبو العباس السفاح عبدالله  بن محمد
Q95822,علي حيدرة
Q95862,داود أمير مكة  الحسني
Q95872,آمنه بنت عبدالله
Q95874,داعی کبیر - حسن بن زید
Q95880,بن الإمام جعفر الصادق
Q95902,ابراهيم المجاب  الحسيني الهاشمي
Q95914,Seyyed Abu Mohammad Qasim (8)  سید قاسم
Q95924,موسى أبو سبحة
Q95928,بن الإمام جعفر الصادق
Q95974,الحسيني
Q95976,الحسيني
Q95978,الحسيني
Q96082,ناصر کبیر یا النصیر الحق یا العطروش
Q96096,علي المحدث أبو الحسين
Q96218,المهدی
Q96226,محمد المهدي
Q96228,جعفر
Q96230,عيسى
Q96232,أسماء
Q96391,سلام ابن مزوار
Q96422,محمد المدني  الحسني
Q96500,الحسيني الهاشمي
Q96512,Seyyed Ahmad al-Arabi (9)  سید احمد اعرابی
Q96524,إبراهيم المرتضى
Q96526,الشريف أحمد الصالح  بن الشريف موسى أبي سبحة
Q96528,بن الشريف موسى أبي سبحة
Q96530,إبراهيم المرتضى
Q96532,إبراهيم المرتضى
Q96534,الحسين الأكبر
Q96536,إبراهيم المرتضى
Q96538,إبراهيم المرتضى
Q96540,إبراهيم المرتضى
Q96544,بن الإمام جعفر الصادق
Q96723,داعی صفیر - چهارمین حاکم دولت علویان طبرستان
Q96729,الناصر إلى الحق الحسن بن علي « الأطروش »
Q96755,عبيد الله الثالث أبو علي
Q96884,الخليفة موسى الهادي  بن المهدي
Q96886,الخليفة هارون الرشيد  بن المهدي
Q96894,الخيزران
Q96896,موسى الهادي
Q96898,هارون الرشيد
Q96900,العباسة أو علية
Q96908,سعد  بن تيم
Q97059,عيسى
Q97105,يحيى الزاهد  الحسني
Q97173,محمد  الحسيني
Q97185,سید محمد بن احمد اعرابی
Q97193,إبراهيم المرتضى
Q97195,إبراهيم المرتضى
Q97197,إبراهيم المرتضى
Q97199,إبراهيم المرتضى
Q97201,الحسين الرضى
Q97203,طاهر أبو الطيب
Q97205,إبراهيم المرتضى
Q97207,إبراهيم المرتضى
Q97209,إبراهيم المرتضى
Q97211,إبراهيم المرتضى
Q97213,إبراهيم المرتضى
Q97215,إبراهيم المرتضى
Q97418,المهدي محمد بن الحسن الداعي
Q97438,الأمير محمد الأشترأمير المدينة
Q97576,زبيدة
Q97578,محمد الأمين
Q97580,مراجل الفارسية
Q97582,عبد الله المأمون
Q97584,ماردة أم ولد
Q97586,محمد المعتصم بالله
Q97608,كعب  بن سعد
Q97750,حرمة
Q97789,فاطمة بنت أحمد القرشية
Q97791,عبد الله الجيلي  الحسني
Q97797,يحي  الهاشمي
Q97871,حسين  الحسيني
Q97885,Seyyed Ismail  سید اسمعیل
Q97901,إبراهيم المرتضى
Q97903,إبراهيم المرتضى
Q97905,الشريف أبو القاسم  بن الشريف محمود
Q97907,محمد المحدث
Q97909,إبراهيم المرتضى
Q97911,إبراهيم المرتضى
Q97913,إبراهيم المرتضى
Q97915,إبراهيم المرتضى
Q98097,الأمير النقيب محمد أبو علي
Q98223,هارون الواثق بالله
Q98225,جعفر المتوكل على الله
Q98227,محمد
Q98257,عمرو  بن كعب
Q98275,معاویة بن یزید
Q98380,علي
Q98382,علي
Q98404,موسى الثالث
Q98410,عيسى  الهاشمي
Q98471,أحمد  الحسيني
Q98485,Seyyed Mohammad  سید محمد
Q98499,إبراهيم المرتضى
Q98501,الشريف محمود  بن الشريف حسين الرضي
Q98503,عبد الله  الحسيني
Q98554,Shahr Banu  بنت الإمبراطور فلافيوس موريسيوس تيبيريوس أجوستوس
Q98594,Hermisdas  بن كسرى خسرو الأول أنوشيروان
Q98604,Khosrau I (Anushirvan)  بن كسرى قباد الأول
Q98630,Peroz  بن كسرى يزدجرد الثاني
Q98646,Yazdegerd  بن كسرى بهرام الخامس
Q98651,النقيب أحمد أبو عبد الله
Q98660,Bahrám Gur  بن كسرى يزدجرد الأول
Q98680,Yazdegerd  بن كسرى شابور الثالث
Q98700,Shapur  بن كسرى شابور الثاني
Q98745,Hormizd II-  بن كسرى نرسي
Q98766,محمد المهتدي بالله
Q98768,أحمد المستعين بالله
Q98904,أبي بكر
Q98906,أبي بكر
Q98934,أبي عبد الله الحسين الشهيربقضيب البان  الموصلي
Q98942,حمزة  الوهاسي
Q98998,محمود  الحسيني
Q99012,Seyyed Jaffar  سید جعفر
Q99014,سید محمد
Q99032,بن الشريف حسين الرضي
Q99034,بن الشريف حسين الرضي
Q99038,لي ابن الدوليمية
Q99262,أبو الحسين زيد ضياء الدين
Q99426,الملك أرتازركسيس- أردشير الأول  بن الملك زركسيس الأول
Q99430,الملك زركسيس الأول  بن الملك داريوس الأول
Q99436,الأميرة أتوسّا  بنت الملك قورش الثاني العظيم
Q99438,الملك داريوس الأول  بن الأمير هستاسبس
Q99442,الملك قورش الثاني العظيم  بن قمبيز الأول
Q99445,الأميرة كاسّاندان  بنت فارناسبس
Q99446,الأمير هستاسبس  بن أرسامس
Q99448,قمبيز الأول  بن قورش الأول
Q99450,الأميرة ماندان  بنت الملك أستياجس
Q99452,أرسامس  بن أريارامنس
Q99454,قورش الأول  بن الملك تسيبس
Q99456,الملك أستياجس  بن الملك سياخاريس
Q99458,الملكة أرينيس  بنت الملك ألياتّيس الثاني
Q99460,أريارامنس  بن الملك تيسبس
Q99462,الملك تيسبس  بن الملك أخمينيس
Q99464,الملك سياخاريس  بن الملك فراورتيس
Q99466,الملك الياتّيس الثاني  بن الملك سادياتّيس
Q99472,الملك أخمينيس
Q99474,الملك فراورتيس  بن الملك ديوكيس
Q99476,الملك سادياتّيس  بن الملك أرديس الثاني
Q99484,الملك ديوكيس
Q99486,الملك أرديس الثاني  بن الملك جيجس
Q99492,الملك جيجس
Q100090,بنت عبد الله
Q100396,موسى  بن قلند
Q100461,عبد الله  بن محمد
Q100808,مطرف  بن موسى
Q100834,موسى  بن محمد
Q101513,عبد الرحمن الناصر لدين الله  محمد بن
Q101597,عبد الملك  بن موسى
Q102462,الإمام علي (ع)
Q102703,أبو العاص آل الحكم  بن عبد الرحمن
Q104589,أبو الوليد هشام  بن الحكم
Q104591,بن الحكم
Q105627,محياة بنت امرئ القيس بن عدي
Q105643,السيدة زينب (ع)
Q105647,أسماء  بنت عميس
Q105787,فاطمة بنت الـحسن بن علي‎  بنت الإمام أمير المؤمنين الحسن فاطمة بنت الـحسن بن علي/ Umm ‘Abd
Q105806,القاسم بن الحسن‎
Q105814,شهربانو بنت كسرى يزدجرد الثالث
Q105826,رباب بنت امرئ القيس بن عدى بن أوس رباب بنت امرئ القيس بن عدى بن أوس
Q105968,عبد الله المحض  الحسني
Q105988,الإمام محمد الباقر  بن الإمام علي زين العابدين
Q105990,عبدالله بن علی بن حسین
Q106026,علي الأصغر
Q106056,Sayyidna 'Amar bin Abdullaah bin Sayyidna Muslim  عَمَرو بن عبداللہ بن مسلم بن عقیل
Q106207,إدريس الأكبر
Q106221,محمد النفس الزكيه
Q106225,موسى الجون  الحسني
Q106255,أم فروة- فاطمة  بنت القاسم
Q106271,علی السلطان‌
Q106311,محبه بنت عمرو بن علی بن الحسین(ع)
