qid,property_count,properties,restored_from_xml,entity_type
Q4118,1,P39,False,unlabeled
Q41351,1,P39,False,unlabeled
Q41439,1,P39,False,unlabeled
Q4199,1,P39,False,unlabeled
Q4210,1,P39,False,unlabeled
Q4257,1,P39,False,unlabeled
Q43009,1,P39,False,unlabeled
Q43012,1,P39,False,unlabeled
Q43020,1,P39,False,unlabeled
Q43025,1,P39,False,unlabeled
Q43033,1,P39,False,unlabeled
Q43061,1,P39,False,unlabeled
Q43065,1,P39,False,unlabeled
Q43073,1,P39,False,unlabeled
Q43081,1,P39,False,unlabeled
Q43085,1,P39,False,unlabeled
Q43137,1,P39,False,unlabeled
Q43173,1,P39,False,unlabeled
Q43197,1,P39,False,unlabeled
Q43201,1,P39,False,unlabeled
Q43213,1,P39,False,unlabeled
Q43225,1,P39,False,unlabeled
Q43229,1,P39,False,unlabeled
Q43291,1,P39,False,unlabeled
Q43299,1,P39,False,unlabeled
Q43332,1,P39,False,unlabeled
Q43364,1,P39,False,unlabeled
Q43448,1,P39,False,unlabeled
Q43452,1,P39,False,unlabeled
Q43480,1,P39,False,unlabeled
Q43580,1,P39,False,unlabeled
Q43584,1,P39,False,unlabeled
Q43588,1,P39,False,unlabeled
Q43934,1,P39,False,unlabeled
Q43978,1,P39,False,unlabeled
Q44441,1,P39,False,unlabeled
Q44554,1,P39,False,unlabeled
Q4583,1,P39,False,unlabeled
Q4607,1,P39,False,unlabeled
Q46590,6,"P39,P47,P5,P11,P15,P60",True,restored
Q4726,1,P39,False,unlabeled
Q47272,6,"P39,P48,P5,P11,P15,P60",True,restored
Q47284,6,"P39,P48,P5,P11,P15,P60",True,restored
Q4750,1,P39,False,unlabeled
Q48323,7,"P39,P42,P20,P5,P11,P15,P60",True,restored
Q48379,6,"P39,P20,P5,P11,P15,P60",True,restored
Q48436,7,"P39,P42,P20,P5,P11,P15,P60",True,restored
Q4846,1,P39,False,unlabeled
Q48464,7,"P39,P42,P20,P5,P11,P15,P60",True,restored
Q48810,7,"P39,P42,P20,P5,P11,P15,P60",True,restored
Q4886,1,P39,False,unlabeled
Q48874,7,"P39,P42,P20,P5,P11,P15,P60",True,restored
Q48962,7,"P39,P42,P20,P5,P11,P15,P60",True,restored
Q4901,1,P39,False,unlabeled
Q49047,7,"P39,P42,P20,P5,P11,P15,P60",True,restored
Q49124,7,"P39,P42,P20,P5,P11,P15,P60",True,restored
Q4918,1,P39,False,unlabeled
Q49188,7,"P39,P42,P20,P5,P11,P15,P60",True,restored
Q49239,7,"P39,P42,P20,P5,P11,P15,P60",True,restored
Q4925,1,P39,False,unlabeled
Q49271,7,"P39,P42,P20,P5,P11,P15,P60",True,restored
Q49295,7,"P39,P42,P20,P5,P11,P15,P60",True,restored
Q49687,8,"P39,P42,P20,P47,P5,P11,P15,P60",True,restored
Q49691,7,"P39,P42,P20,P5,P11,P15,P60",True,restored
