# GEDCOM ID to Wikibase QID Mapping
# Generated by repair_then_upload.py

# Properties
alternate_name	P6
birth_date	P7
burial_date	P9
child	P20
death_date	P8
father	P22
full_name	P5
gedcom_refn	P41
given_name	P3
husband	P18
instance_of	P39
marriage_date	P10
mother	P21
notes_page	P15
occupation	P12
parent_family	P16
residence	P13
sex	P11
source	P14
spouse	P42
spouse_family	P2
surname	P4
wife	P19

@I6411@	Q1518
@I641@	Q866
@I6423@	Q1514
@I642@	Q2763
@I6435@	Q1515
@I643@	Q2764
@I644@	Q2765
@I6459@	Q1517
@I645@	Q2766
@I646@	Q2767
@I6495@	Q1520
@I6507@	Q1521
@I6519@	Q1522
@I6532@	Q1523
@I653@	Q877
@I654@	Q878
@I6556@	Q1525
@I655@	Q2769
@I6568@	Q5482
@I656@	Q2770
@I657@	Q2771
@I6580@	Q1527
@I658@	Q2772
@I659@	Q2773
@I6602@	Q1529
@I660@	Q2774
@I661@	Q2775
@I662@	Q2776
@I6638@	Q1532
@I663@	Q2777
@I664@	Q2778
@I6650@	Q1533
@I665@	Q2779
@I666@	Q2780
@I6675@	Q1535
@I667@	Q2781
@I6687@	Q1536
@I668@	Q2782
@I6699@	Q1537
@I674@	Q898
@I675@	Q899
@I676@	Q2783
@I6770@	Q1571
@I677@	Q2784
@I6782@	Q1544
@I678@	Q2785
@I6794@	Q1545
@I679@	Q2786
@I6807@	Q1546
@I6843@	Q1549
@I6867@	Q1551
@I6879@	Q1552
@I6891@	Q1557
@I6903@	Q1554
@I690@	Q914
@I691@	Q915
@I6928@	Q1556
@I692@	Q916
@I693@	Q917
@I6952@	Q1558
@I695@	Q919
@I6964@	Q1559
@I696@	Q2788
@I697@	Q2789
@I6988@	Q1561
@I698@	Q2790
@I699@	Q2791
@I6@	Q285
@I700@	Q2792
@I701@	Q2793
@I702@	Q2794
@I7036@	Q1565
@I703@	Q2795
@I7049@	Q1566
@I704@	Q928
@I705@	Q929
@I7061@	Q1567
@I7073@	Q1568
@I707@	Q931
@I7097@	Q1570
@I710@	Q934
@I711@	Q935
@I7121@	Q1572
@I712@	Q936
@I7133@	Q1573
@I713@	Q937
@I714@	Q938
@I7157@	Q1575
@I715@	Q939
@I716@	Q940
@I7170@	Q1576
@I717@	Q2796
@I7182@	Q1577
@I718@	Q2797
@I7194@	Q1580
@I719@	Q2798
@I7206@	Q1579
@I720@	Q2799
@I721@	Q945
@I7228@	Q1581
@I722@	Q946
@I723@	Q2801
@I7240@	Q1582
@I724@	Q2802
@I725@	Q2803
@I7264@	Q1584
@I726@	Q2804
@I7300@	Q1587
@I7313@	Q1588
@I732@	Q2805
@I733@	Q2806
@I7349@	Q1591
@I7361@	Q1592
@I7385@	Q1594
@I7389@	Q1595
@I7409@	Q1597
@I741@	Q965
@I742@	Q966
@I7434@	Q1599
@I7458@	Q1601
@I745@	Q969
@I746@	Q970
@I7482@	Q1603
@I748@	Q972
@I7494@	Q1604
@I749@	Q973
@I7506@	Q1605
@I750@	Q974
@I7518@	Q1606
@I7530@	Q1607
@I753@	Q2815
@I754@	Q2816
@I755@	Q2817
@I7567@	Q1610
@I756@	Q2818
@I7591@	Q1612
@I7603@	Q1613
@I762@	Q2820
@I7639@	Q1616
@I763@	Q987
@I765@	Q989
@I7663@	Q1618
@I7676@	Q1619
@I767@	Q991
@I7712@	Q1622
@I7724@	Q1623
@I7748@	Q1625
@I777@	Q1001
@I778@	Q1002
@I7797@	Q1629
@I7809@	Q1630
@I780@	Q1004
@I781@	Q1005
@I782@	Q1006
@I783@	Q2822
@I7845@	Q1633
@I784@	Q2823
@I7857@	Q1634
@I786@	Q1016
@I787@	Q1010
@I7881@	Q1636
@I788@	Q1011
@I789@	Q1012
@I7905@	Q1638
@I791@	Q1014
@I7927@	Q1640
@I792@	Q1015
@I794@	Q1017
@I7952@	Q1642
@I7964@	Q1643
@I796@	Q1019
@I797@	Q1020
@I799@	Q2829
@I8000@	Q1646
@I8012@	Q1647
@I801@	Q2831
@I8036@	Q1649
@I803@	Q1026
@I804@	Q1027
@I805@	Q1028
@I807@	Q1030
@I8085@	Q1653
@I808@	Q1031
@I8097@	Q1654
@I809@	Q1032
@I8109@	Q1655
@I811@	Q1034
@I812@	Q1035
@I8133@	Q1657
@I8145@	Q1658
@I814@	Q1037
@I815@	Q1038
@I816@	Q1039
@I817@	Q1040
@I818@	Q1041
@I819@	Q1042
@I820@	Q1043
@I821@	Q1044
@I822@	Q1045
@I824@	Q1047
@I826@	Q1049
@I827@	Q1050
@I828@	Q1051
@I829@	Q1052
@I830@	Q1053
@I831@	Q1054
@I832@	Q1055
@I833@	Q1056
@I834@	Q1057
@I835@	Q1058
@I836@	Q1059
@I837@	Q1060
@I838@	Q1061
@I839@	Q1062
@I840@	Q1063
@I841@	Q1064
@I844@	Q1066
@I845@	Q1067
@I846@	Q1070
@I847@	Q1069
@I849@	Q1071
@I850@	Q1072
@I851@	Q1073
@I852@	Q1074
@I853@	Q1075
@I854@	Q1076
@I855@	Q1077
@I856@	Q1078
@I857@	Q1081
@I858@	Q1080
@I861@	Q1083
@I862@	Q1084
@I863@	Q1085
@I864@	Q1086
@I865@	Q1087
@I8661@	Q1665
@I8668@	Q1668
@I866@	Q1088
@I8670@	Q1670
@I8674@	Q1673
@I8675@	Q1674
@I8677@	Q1675
@I8679@	Q1676
@I867@	Q1089
@I8681@	Q1678
@I8685@	Q1680
@I8688@	Q1681
@I868@	Q1090
@I8692@	Q1683
@I8693@	Q1684
@I8696@	Q1687
@I869@	Q1091
@I8701@	Q1689
@I8706@	Q1691
@I8708@	Q1692
@I870@	Q1092
@I871@	Q1093
@I8720@	Q1696
@I8722@	Q1698
@I8723@	Q1699
@I872@	Q1094
@I8739@	Q1703
@I873@	Q1095
@I8743@	Q1705
@I8744@	Q1706
@I874@	Q1096
@I875@	Q1097
@I8763@	Q1712
@I8765@	Q1713
@I876@	Q1098
@I8782@	Q1719
@I878@	Q1100
@I879@	Q1101
