entity_without_ids,name_without_ids,lang_without_ids,entity_with_ids,name_with_ids,lang_with_ids,normalized_name
Q16695,Ban Bu Gang Jiang Xue Zhai,en,Q26705,Ban Bu Gang Jiang Xue Zhai,en,ban bu gang jiang xue zhai
Q16697,Zheng Mu Shi Tong,en,Q26708,Zheng Mu Shi Tong,en,zheng mu shi tong
Q16698,Toyama Naokage (Tanba no Kami),en,Q26711,Toyama Naokage (Tanba no Kami),en,toyama naokage (tanba no kami)
Q16706,Nezugoryōnin,en,Q26717,Nezugoryōnin,en,nezugoryōnin
Q16706,Nezugoryōnin,en,Q26717,Nezugoryōnin,vi,nezugoryōnin
Q16709,Sanjō Kinyori,en,Q26720,Sanjō Kinyori,en,sanjō kinyori
Q16709,Sanjō Kinyori,en,Q26720,Sanjō Kinyori,ast,sanjō kinyori
Q16709,Sanjō Kinyori,en,Q26720,Sanjō Kinyori,es,sanjō kinyori
Q16709,Sanjō Kinyori,en,Q26720,Sanjō Kinyori,tr,sanjō kinyori
Q16710,Kyōkōin Nyoshunni,en,Q26723,Kyōkōin Nyoshunni,en,kyōkōin nyoshunni
Q16710,Kyōkōin Nyoshunni,en,Q26723,Kyōkōin Nyoshunni,ast,kyōkōin nyoshunni
Q16719,Dong Noju,en,Q26726,Dong Noju,en,dong noju
Q16721,Qian Xie Jun Yin,en,Q26729,Qian Xie Jun Yin,en,qian xie jun yin
Q16722,Ōishi Sadashige,en,Q26732,Ōishi Sadashige,en,ōishi sadashige
Q16723,Da Shi Ding Zhong,en,Q26735,Da Shi Ding Zhong,en,da shi ding zhong
Q16724,Daughter of Oishi Sadahisa (second wife of Ota Sukemasa),en,Q26738,Daughter of Oishi Sadahisa (second wife of Ota Sukemasa),en,daughter of oishi sadahisa (second wife of ota sukemasa)
Q16725,Shan Zhong Lai Ci,en,Q26742,Shan Zhong Lai Ci,en,shan zhong lai ci
Q16726,Teng Tian Xin Ji,en,Q26745,Teng Tian Xin Ji,en,teng tian xin ji
Q16727,Yong Tu Zhong Lian,en,Q26748,Yong Tu Zhong Lian,en,yong tu zhong lian
Q16728,Hōjō Ujimune,en,Q26751,Hōjō Ujimune,en,hōjō ujimune
Q16728,Hōjō Ujimune,en,Q26751,Hōjō Ujimune,de,hōjō ujimune
Q16730,Ōinomikado Tsuneyori,en,Q26754,Ōinomikado Tsuneyori,en,ōinomikado tsuneyori
Q16731,Ōinomikado Tsunetaka,en,Q26757,Ōinomikado Tsunetaka,en,ōinomikado tsunetaka
Q16732,Daughter of Imagawa Naofusa (wife of Okubo Tadataka),en,Q26760,Daughter of Imagawa Naofusa (wife of Okubo Tadataka),en,daughter of imagawa naofusa (wife of okubo tadataka)
Q16738,Chōkyū,en,Q26763,Chōkyū,en,chōkyū
Q16740,Hōjō Ujihira,en,Q26766,Hōjō Ujihira,en,hōjō ujihira
Q16740,Hōjō Ujihira,en,Q26766,Hōjō Ujihira,de,hōjō ujihira
Q16742,Ōta Sukeyori,en,Q26769,Ōta Sukeyori,en,ōta sukeyori
Q16742,Ōta Sukeyori,en,Q26769,Ōta Sukeyori,de,ōta sukeyori
Q16742,Ōta Sukeyori,en,Q26769,Ōta Sukeyori,nl,ōta sukeyori
Q16742,Ōta Sukeyori,en,Q26769,Ōta Sukeyori,ast,ōta sukeyori
Q16743,Ōta Sukeaki,en,Q26772,Ōta Sukeaki,en,ōta sukeaki
Q16743,Ōta Sukeaki,en,Q26772,Ōta Sukeaki,de,ōta sukeaki
Q16743,Ōta Sukeaki,en,Q26772,Ōta Sukeaki,nl,ōta sukeaki
Q16743,Ōta Sukeaki,en,Q26772,Ōta Sukeaki,ast,ōta sukeaki
Q16746,Daughter of Sakuma Moriuji (Wife of Satomi Sanetaka),en,Q26775,Daughter of Sakuma Moriuji (wife of Satomi Sanetaka),en,daughter of sakuma moriuji (wife of satomi sanetaka)
Q16748,Daughter of Toki Tameyori (Second wife of Satomi Yoshitaka),en,Q26781,daughter of Toki Tameyori (second wife of Satomi Yoshitaka),en,daughter of toki tameyori (second wife of satomi yoshitaka)
Q16751,Ōgimachisanjō Sanemochi,en,Q26784,Ōgimachisanjō Sanemochi,en,ōgimachisanjō sanemochi
Q16754,Daughter of Goto Heitayu (Wife of Kira Yoshitaka),en,Q26790,daughter of Goto Heitayu (wife of Kira Yoshitaka),en,daughter of goto heitayu (wife of kira yoshitaka)
Q16756,Ji Liang Yi Zhao,en,Q26793,Ji Liang Yi Zhao,en,ji liang yi zhao
Q16757,Xiao Li Yuan Chang Gao,en,Q26796,Xiao Li Yuan Chang Gao,en,xiao li yuan chang gao
Q16759,Xiao Li Yuan Qing Guang,en,Q26799,Xiao Li Yuan Qing Guang,en,xiao li yuan qing guang
Q16760,Xiao Li Yuan Yi Lai,en,Q26802,Xiao Li Yuan Yi Lai,en,xiao li yuan yi lai
Q16763,Ti Dian Chang Jiang,en,Q26805,Ti Dian Chang Jiang,en,ti dian chang jiang
Q16767,Jing Yi Zhi Shi,en,Q26811,Jing Yi Zhi Shi,en,jing yi zhi shi
Q16772,Daughter of Sekiguchi Chikanaga (Wife of Otani Motohide),en,Q26814,daughter of Sekiguchi Chikanaga (wife of Otani Motohide),en,daughter of sekiguchi chikanaga (wife of otani motohide)
Q16773,Da Gu Ji Xiu,en,Q26817,Da Gu Ji Xiu,en,da gu ji xiu
Q16774,Daughter of Yoshida Kanetomo (Wife of Nakamikado Nobuhide),en,Q26820,daughter of Yoshida Kanetomo (wife of Nakamikado Nobuhide),en,daughter of yoshida kanetomo (wife of nakamikado nobuhide)
Q16775,Zhong Yu Men Xuan Gang,en,Q26823,Zhong Yu Men Xuan Gang,en,zhong yu men xuan gang
Q16777,Si Tiao Long Zhong,en,Q26826,Si Tiao Long Zhong,en,si tiao long zhong
Q16781,Kyūkō Eishin,en,Q26829,Kyūkō Eishin,en,kyūkō eishin
Q16783,Nanshōin (Wife of Anayama Nobutomo),en,Q26832,Nanshōin (wife of Anayama Nobutomo),en,nanshōin (wife of anayama nobutomo)
Q16784,Gui Yu Liao Ren,en,Q26835,Gui Yu Liao Ren,en,gui yu liao ren
Q16785,Xia Tiao Xin Shi Noqi,en,Q26838,Xia Tiao Xin Shi Noqi,en,xia tiao xin shi noqi
Q16786,Daughter of Takeda Nobutora (Wife of Nezu Shinpei),en,Q26841,Daughter of Takeda Nobutora (wife of Nezu Shinpei),en,daughter of takeda nobutora (wife of nezu shinpei)
Q16787,Ju Yu Liao Ren,en,Q26844,Ju Yu Liao Ren,en,ju yu liao ren
Q16788,Ōi Nobusato,en,Q26847,Ōi Nobusato,en,ōi nobusato
Q16788,Ōi Nobusato,en,Q26847,Ōi Nobusato,tr,ōi nobusato
Q16791,Eishōin (Wife of Koide Hidemasa),en,Q26850,Eishōin (wife of Koide Hidemasa),en,eishōin (wife of koide hidemasa)
Q16792,Shōunin (Wife of Fukushima Masanobu),en,Q26853,Shōunin (wife of Fukushima Masanobu),en,shōunin (wife of fukushima masanobu)
Q16793,Da En Yuan,en,Q26856,Da En Yuan,en,da en yuan
Q16796,Chishōin,en,Q26862,Chishōin,en,chishōin
Q16802,Xiao Shang,en,Q26868,Xiao Shang,en,xiao shang
Q16804,Li Chen Bai Wan,en,Q26874,Li Chen Bai Wan,en,li chen bai wan
Q16805,Li Chen Shi Wan,en,Q26877,Li Chen Shi Wan,en,li chen shi wan
Q16809,Long Qing Yuan,en,Q26880,Long Qing Yuan,en,long qing yuan
Q16810,Shan Yuan Jia Li,en,Q26883,Shan Yuan Jia Li,en,shan yuan jia li
Q16811,Yun Zhao Yuan,en,Q26886,Yun Zhao Yuan,en,yun zhao yuan
Q16814,Mu Xia Li Fang,en,Q26889,Mu Xia Li Fang,en,mu xia li fang
Q16819,Qian Ye Chang Zhong,en,Q26892,Qian Ye Chang Zhong,en,qian ye chang zhong
Q16819,Qian Ye Chang Zhong,en,Q37127,Qian Ye Chang Zhong,en,qian ye chang zhong
Q16820,Rong Yun Yuan,en,Q26895,Rong Yun Yuan,en,rong yun yuan
Q16821,Yang Mei Yuan,en,Q26898,Yang Mei Yuan,en,yang mei yuan
Q16824,Shōankenkyūni,en,Q26901,Shōankenkyūni,en,shōankenkyūni
Q16824,Shōankenkyūni,en,Q26901,Shōankenkyūni,ast,shōankenkyūni
Q16824,Shōankenkyūni,en,Q26901,Shōankenkyūni,es,shōankenkyūni
Q16827,Daimonjiya Shinjūrō,en,Q26904,Daimonjiya Shinjūrō,en,daimonjiya shinjūrō
Q16827,Daimonjiya Shinjūrō,en,Q26904,Daimonjiya Shinjūrō,ast,daimonjiya shinjūrō
Q16827,Daimonjiya Shinjūrō,en,Q26904,Daimonjiya Shinjūrō,es,daimonjiya shinjūrō
Q16827,Daimonjiya Shinjūrō,en,Q26904,Daimonjiya Shinjūrō,tr,daimonjiya shinjūrō
Q16845,Kyōgoku Takakiyo,en,Q26910,Kyōgoku Takakiyo,en,kyōgoku takakiyo
Q16845,Kyōgoku Takakiyo,en,Q26910,Kyōgoku Takakiyo,ast,kyōgoku takakiyo
Q16845,Kyōgoku Takakiyo,en,Q26910,Kyōgoku Takakiyo,es,kyōgoku takakiyo
Q16845,Kyōgoku Takakiyo,en,Q26910,Kyōgoku Takakiyo,tr,kyōgoku takakiyo
Q16846,Kyōgoku Takanobu,en,Q26913,Kyōgoku Takanobu,en,kyōgoku takanobu
Q16846,Kyōgoku Takanobu,en,Q26913,Kyōgoku Takanobu,ast,kyōgoku takanobu
Q16846,Kyōgoku Takanobu,en,Q26913,Kyōgoku Takanobu,es,kyōgoku takanobu
Q16846,Kyōgoku Takanobu,en,Q26913,Kyōgoku Takanobu,tr,kyōgoku takanobu
Q16847,Kyōgoku Tadataka,en,Q26916,Kyōgoku Tadataka,en,kyōgoku tadataka
Q16847,Kyōgoku Tadataka,en,Q26916,Kyōgoku Tadataka,pt-br,kyōgoku tadataka
Q16847,Kyōgoku Tadataka,en,Q26916,Kyōgoku Tadataka,pt,kyōgoku tadataka
Q16847,Kyōgoku Tadataka,en,Q26916,Kyōgoku Tadataka,de,kyōgoku tadataka
Q16847,Kyōgoku Tadataka,en,Q26916,Kyōgoku Tadataka,fr,kyōgoku tadataka
Q16847,Kyōgoku Tadataka,en,Q26916,Kyōgoku Tadataka,it,kyōgoku tadataka
Q16847,Kyōgoku Tadataka,en,Q26916,Kyōgoku Tadataka,es,kyōgoku tadataka
Q16847,Kyōgoku Tadataka,en,Q26916,Kyōgoku Tadataka,ast,kyōgoku tadataka
Q16847,Kyōgoku Tadataka,en,Q26916,Kyōgoku Tadataka,tr,kyōgoku tadataka
Q16848,An Mao Gao Zheng,en,Q26920,An Mao Gao Zheng,en,an mao gao zheng
Q16851,Sojiin (wife of Kyogoku Takatomo),en,Q26929,Sojiin (wife of Kyogoku Takatomo),en,sojiin (wife of kyogoku takatomo)
Q16852,Takehara clan (Wife of Kyogoku Takatomo),en,Q26932,Takehara clan (wife of Kyogoku Takatomo),en,takehara clan (wife of kyogoku takatomo)
Q16853,Kyōgoku Takahiro,en,Q26935,Kyōgoku Takahiro,en,kyōgoku takahiro
Q16853,Kyōgoku Takahiro,en,Q26935,Kyōgoku Takahiro,ast,kyōgoku takahiro
Q16853,Kyōgoku Takahiro,en,Q26935,Kyōgoku Takahiro,es,kyōgoku takahiro
Q16853,Kyōgoku Takahiro,en,Q26935,Kyōgoku Takahiro,tr,kyōgoku takahiro
Q16855,Jing Ji Chang Zi,en,Q26941,Jing Ji Chang Zi,en,jing ji chang zi
Q16857,Daughter of Narita Ujinaga (wife of Koyama Hidetsuna),en,Q26944,daughter of Narita Ujinaga (wife of Koyama Hidetsuna),en,daughter of narita ujinaga (wife of koyama hidetsuna)
Q16863,Shinzō no kata,en,Q26947,Shinzō no kata,en,shinzō no kata
Q16863,Shinzō no kata,en,Q26947,Shinzō no kata,fr,shinzō no kata
Q16865,Shōgonin,en,Q26950,Shōgonin,en,shōgonin
Q16865,Shōgonin,en,Q26950,Shōgonin,ast,shōgonin
Q16868,Shōkōin,en,Q26953,Shōkōin,en,shōkōin
Q16868,Shōkōin,en,Q26953,Shōkōin,sv,shōkōin
Q16871,Date Sōshin,en,Q26956,Date Sōshin,en,date sōshin
Q16871,Date Sōshin,en,Q26956,Date Sōshin,fr,date sōshin
Q16884,Rong Song Yuan,en,Q26959,Rong Song Yuan,en,rong song yuan
Q16886,Shan Ming Li Ding,en,Q26962,Shan Ming Li Ding,en,shan ming li ding
Q16887,Daughter of Hosokawa Takakuni (wife of Yamana Toyosada),en,Q26965,Daughter of Hosokawa Takakuni (wife of Yamana Toyosada),en,daughter of hosokawa takakuni (wife of yamana toyosada)
Q16888,Shan Ming Li Zheng,en,Q26968,Shan Ming Li Zheng,en,shan ming li zheng
Q16889,Daughter of Yamana Toyokuni (wife of Toki Yorikatsu),en,Q26971,Daughter of Yamana Toyokuni (wife of Toki Yorikatsu),en,daughter of yamana toyokuni (wife of toki yorikatsu)
Q16890,Shan Ming Li Yi,en,Q26974,Shan Ming Li Yi,en,shan ming li yi
