# Japanese GEDCOM ID to Wikibase QID Mapping
# Generated by japanese_repair_upload.py

# Properties
birth_date	P7
child	P20
death_date	P8
full_name	P5
gedcom_refn	P41
given_name	P3
sex	P11
spouse	P42
surname	P4

# Individuals
@I11148@	Q17695
@I11149@	Q17696
@I1114@	Q7662
@I11150@	Q17697
@I11151@	Q17698
@I11152@	Q17699
@I11153@	Q17700
@I11154@	Q17701
@I11155@	Q17702
@I11156@	Q17703
@I11157@	Q17704
@I11158@	Q17705
@I11159@	Q17706
@I11160@	Q17707
@I11161@	Q17708
@I11162@	Q17709
@I11163@	Q17710
@I11164@	Q17711
@I11165@	Q17712
@I11166@	Q17713
@I11167@	Q17714
@I11168@	Q17715
@I11169@	Q17716
@I11170@	Q17717
@I11171@	Q17718
@I11173@	Q17720
@I11174@	Q17721
@I11175@	Q17722
@I11176@	Q17723
@I11177@	Q17724
@I11178@	Q17725
@I1117@	Q7665
@I11180@	Q17727
@I11181@	Q17728
@I11182@	Q17729
@I11183@	Q17730
@I11184@	Q17731
@I11185@	Q17732
@I11186@	Q17733
@I11187@	Q17734
@I11189@	Q17736
@I11190@	Q17737
@I11191@	Q17738
@I11192@	Q17739
@I11194@	Q17741
@I11195@	Q17742
@I11199@	Q17746
@I111@	Q6650
@I11200@	Q17747
@I11201@	Q17748
@I11203@	Q17750
@I11205@	Q17752
@I11206@	Q17753
@I11207@	Q17754
@I11208@	Q17755
@I11209@	Q17756
@I1120@	Q7668
@I11210@	Q17757
@I11211@	Q17758
@I11212@	Q17759
@I11213@	Q17760
@I11214@	Q17761
@I11219@	Q17766
@I1121@	Q7669
@I11220@	Q17767
@I11221@	Q17768
@I11224@	Q17771
@I11225@	Q17772
@I11226@	Q17773
@I11227@	Q17774
@I11229@	Q17776
@I11231@	Q17778
@I11232@	Q17779
@I11233@	Q17780
@I11234@	Q17781
@I11235@	Q17782
@I11236@	Q17783
@I11237@	Q17784
@I11238@	Q17785
@I11239@	Q17786
@I1123@	Q7671
@I11240@	Q17787
@I11241@	Q17788
@I11242@	Q17789
@I11243@	Q17790
@I11246@	Q17793
@I11254@	Q17801
@I1125@	Q7673
@I11266@	Q17813
@I11269@	Q17816
@I11270@	Q17817
@I11274@	Q17821
@I11278@	Q17825
@I11283@	Q17830
@I11286@	Q17833
@I11289@	Q17836
@I11294@	Q17841
@I112@	Q6652
@I11302@	Q17849
@I11305@	Q17852
@I11306@	Q17853
@I11310@	Q17857
@I11314@	Q17861
@I11323@	Q17870
@I11324@	Q17871
@I11333@	Q17880
@I11334@	Q17881
@I11338@	Q17885
@I11339@	Q17886
@I11340@	Q17887
@I11341@	Q17888
@I11342@	Q17889
@I11343@	Q17890
@I11349@	Q17896
@I11350@	Q17897
@I11351@	Q17898
@I11352@	Q17899
@I11355@	Q17902
@I11356@	Q17903
@I11357@	Q17904
@I11358@	Q17905
@I11362@	Q17909
@I11363@	Q17910
@I11364@	Q17911
@I11365@	Q17912
@I1136@	Q7684
@I11375@	Q17922
@I11382@	Q17929
@I11383@	Q17930
@I11384@	Q17931
@I11388@	Q17935
@I11392@	Q17939
@I11393@	Q17940
@I11395@	Q17942
@I11398@	Q17945
@I1139@	Q7687
@I113@	Q6654
@I11401@	Q17948
@I11402@	Q17949
@I11408@	Q17955
@I11409@	Q17956
@I1140@	Q7688
@I11418@	Q17965
@I11424@	Q17971
@I11425@	Q17972
@I11426@	Q17973
@I11429@	Q17976
@I1142@	Q7690
@I11435@	Q17982
@I11437@	Q17984
@I11438@	Q17985
@I11439@	Q17986
@I11440@	Q17987
@I11444@	Q17991
@I1144@	Q7692
@I11450@	Q17997
@I11451@	Q17998
@I11452@	Q17999
@I11454@	Q18001
@I11456@	Q18003
@I11457@	Q18004
@I11459@	Q18006
@I1145@	Q7693
@I11463@	Q18010
@I11464@	Q18011
@I11469@	Q18016
@I1146@	Q7694
@I11470@	Q18017
@I11471@	Q18018
@I11472@	Q18019
@I11473@	Q18020
@I11474@	Q18021
@I11475@	Q18022
@I11476@	Q18023
@I11477@	Q18024
@I1147@	Q7695
@I11482@	Q18029
@I11483@	Q18030
@I1148@	Q7696
@I11497@	Q18044
@I11499@	Q18046
@I1149@	Q7697
@I114@	Q6656
@I11500@	Q18047
@I11501@	Q18048
@I11504@	Q18051
@I11505@	Q18052
@I11508@	Q18055
@I1150@	Q7698
@I11512@	Q18059
@I11516@	Q18063
@I11517@	Q18064
@I11519@	Q18066
@I1151@	Q7699
@I11520@	Q18067
@I11529@	Q18076
@I11531@	Q18078
@I11532@	Q18079
@I11533@	Q18080
@I11535@	Q18082
@I11536@	Q18083
@I11537@	Q18084
@I1153@	Q7701
@I1154@	Q7702
@I11550@	Q18097
@I11551@	Q18098
@I11556@	Q18103
@I11557@	Q18104
@I11558@	Q18105
@I1155@	Q7703
@I11561@	Q18108
@I11563@	Q18110
@I11565@	Q18112
@I11566@	Q18113
@I11567@	Q18114
@I11569@	Q18116
@I11570@	Q18117
@I11571@	Q18118
@I11582@	Q18129
@I11584@	Q18131
@I11589@	Q18136
@I11590@	Q18137
@I11595@	Q18142
@I11599@	Q18146
@I115@	Q6658
@I11600@	Q18147
@I11601@	Q18148
@I11603@	Q18150
@I11604@	Q18151
@I11606@	Q18153
@I11607@	Q18154
@I11608@	Q18155
@I11609@	Q18156
@I1160@	Q7708
@I11613@	Q18160
@I11614@	Q18161
@I11615@	Q18162
@I1161@	Q7709
@I11621@	Q18168
@I11626@	Q18173
@I11627@	Q18174
@I11628@	Q18175
@I11630@	Q18177
@I11632@	Q18179
@I11633@	Q18180
