# Entities lacking both identifiers and family relationships
qid,english_label,english_description,has_p39_no_identifiers,has_p39_no_relatives
Q16723,Da Shi Ding Zhong,,No,No
Q16724,Daughter of Oishi Sadahisa (second wife of Ota Sukemasa),,No,No
Q16725,Shan Zhong Lai Ci,,No,No
Q16726,Teng Tian Xin Ji,,No,No
Q16727,Yong Tu Zhong Lian,,No,No
Q16728,Hōjō Ujimune,,No,No
Q16730,Ōinomikado Tsuneyori,,No,No
Q16731,Ōinomikado Tsunetaka,,No,No
Q16732,Daughter of Imagawa Naofusa (wife of Okubo Tadataka),,No,No
Q16738,Chōkyū,,No,No
Q16740,Hōjō Ujihira,,No,No
Q16742,Ōta Sukeyori,,No,No
Q16743,Ōta Sukeaki,,No,No
Q16746,Daughter of Sakuma Moriuji (Wife of Satomi Sanetaka),,No,No
Q16747,Daughter of Nagano Noriyoshi (Legal wife of Satomi Yoshitaka),,No,No
Q16748,Daughter of Toki Tameyori (Second wife of Satomi Yoshitaka),,No,No
Q16751,Ōgimachisanjō Sanemochi,,No,No
Q16752,Zheng Qin Ting San Tiao Gong Xiong,,No,No
Q16754,Daughter of Goto Heitayu (Wife of Kira Yoshitaka),,No,No
Q16756,Ji Liang Yi Zhao,,No,No
Q16757,Xiao Li Yuan Chang Gao,,No,No
Q16759,Xiao Li Yuan Qing Guang,,No,No
Q16760,Xiao Li Yuan Yi Lai,,No,No
Q16763,Ti Dian Chang Jiang,,No,No
Q16764,Daughter of Udono Nagamochi (Wife of Matsudaira Ietada),,No,No
Q16767,Jing Yi Zhi Shi,,No,No
Q1677,"Prabu Kertawardhana, 1320-1350 Cakradhara",,No,No
Q16772,Daughter of Sekiguchi Chikanaga (Wife of Otani Motohide),,No,No
Q16773,Da Gu Ji Xiu,,No,No
Q16774,Daughter of Yoshida Kanetomo (Wife of Nakamikado Nobuhide),,No,No
Q16775,Zhong Yu Men Xuan Gang,,No,No
Q16777,Si Tiao Long Zhong,,No,No
Q16781,Kyūkō Eishin,,No,No
Q16783,Nanshōin (Wife of Anayama Nobutomo),,No,No
Q16784,Gui Yu Liao Ren,,No,No
Q16785,Xia Tiao Xin Shi Noqi,,No,No
Q16786,Daughter of Takeda Nobutora (Wife of Nezu Shinpei),,No,No
Q16787,Ju Yu Liao Ren,,No,No
Q16788,Ōi Nobusato,,No,No
Q1679,Khabul Bordzhigin,,No,No
Q16791,Eishōin (Wife of Koide Hidemasa),,No,No
Q16792,Shōunin (Wife of Fukushima Masanobu),,No,No
Q16793,Da En Yuan,,No,No
Q16795,Mōri Hidemoto,,No,No
Q16796,Chishōin,,No,No
Q16797,San Hao Ji Fang Nomei  (da Dao Qin Chong Noshi ),,No,No
Q16802,Xiao Shang,,No,No
Q16803,Li Chen Xian Qian Dai Wan,,No,No
Q16804,Li Chen Bai Wan,,No,No
Q16805,Li Chen Shi Wan,,No,No
Q16809,Long Qing Yuan,,No,No
Q16810,Shan Yuan Jia Li,,No,No
Q16811,Yun Zhao Yuan,,No,No
Q16814,Mu Xia Li Fang,,No,No
Q16819,Qian Ye Chang Zhong,,No,No
Q1682,[55] Indudewi daughter of Wijayarajasa,,No,No
Q16820,Rong Yun Yuan,,No,No
Q16821,Yang Mei Yuan,,No,No
Q16824,Shōankenkyūni,,No,No
