id,label_en,translation
Q148363,Gwerful ferch Gruffudd ap Madog ab Owain Gwynedd,Gwerful ferch Gruffudd ap Madog son of Owain Gwynedd
Q148364,Peredur ap Mael ap Bleddyn,Peredur son of Mael son of Bleddyn
Q148365,Angharad ferch Genillin,Angharad daughter of Genillin
Q148366,Llywelyn Fawr ap Maredudd,Llywelyn Fawr son of Maredudd
Q148367,Llawr Grach ap Maredudd ap Cynan ab Owain Gwynedd of Meivod,Llawr Grach ap Maredudd ap Cynan son of Owain Gwynedd of Meivod
Q148368,Iorwerth ap Cadwgan ap Llywarch ap Brân,Iorwerth son of Cadwgan son of Llywarch son of Brân
Q148369,Nest ferch Cadwgan ap Llywarch ap Brân,Nest ferch Cadwgan son of Llywarch son of Brân
Q148370,Caradog ap Cadwallon ap Cynan ab Owain,Caradog ap Cadwallon ap Cynan son of Owain
Q148371,Hywel ap Meilir Ddû ap Philip ap Lleision,Hywel son of Meilir Ddû son of Philip son of Lleision
Q148372,Hywel Sais ap Gruffudd ap Hywel ap Lleision,Hywel Sais son of Gruffudd son of Hywel son of Lleision
Q148373,Owain ab Arod ab Owain ab Arod,Owain son of Arod son of Owain son of Arod
Q148374,Nest ferch Llywelyn ap Rhydderch ap Maredudd,Nest ferch Llywelyn son of Rhydderch son of Maredudd
Q148435,Sir Thomas fitz Anthony,Sir Thomas son of Anthony
Q148439,Sir Richard fitz Maurice,Sir Richard son of Maurice
Q148446,Sir Thomas fitz John,Sir Thomas son of John
Q148447,Maurice fitz John,Maurice son of John
Q148448,Sir John fitz John,Sir John son of John
Q148449,David fitz John,David son of John
Q148450,Gilbert fitz John,Gilbert son of John
Q148451,"Sir Richard fitz Maurice, 2nd Knight of Kerry","Sir Richard son of Maurice, 2nd Knight of Kerry"
Q148452,Robert fitz Maurice,Robert son of Maurice
Q148453,Sir Maurice fitz Philip,Sir Maurice son of Philip
Q148460,Juliane fitz Gerald,Juliane son of Gerald
Q148463,Ellen fitz William,Ellen son of William
Q148465,Joan fitz Maurice,Joan son of Maurice
Q148466,"Nicholas fitz Maurice, 2nd Baron of Kerry and Lixnaw","Nicholas son of Maurice, 2nd Baron of Kerry and Lixnaw"
Q148467,Matthias fitz Maurice,Matthias son of Maurice
Q148468,Piers fitz Maurice,Piers son of Maurice
Q148469,Robert fitz Maurice,Robert son of Maurice
Q148470,Gerald fitz Maurice,Gerald son of Maurice
Q148472,Maurice fitz Maurice FitzGerald,Maurice son of Maurice FitzGerald
Q148480,Llywelyn ap Rhirid ap Seisyll ap Hwefrig,Llywelyn son of Rhirid son of Seisyll son of Hwefrig
Q148481,Idnerth ab Edryd ap Nathan ap Japheth,Idnerth son of Edryd ap Nathan ap Japheth
Q148482,Cynwrig ap Gwgon ab Idnerth ab Edryd,Cynwrig ap Gwgon son of Idnerth son of Edryd
Q148483,Dafydd ab Einion Fychan ab Einion Ddû ap Cynwrig,Dafydd son of Einion Fychan son of Einion Ddû ap Cynwrig
Q148484,Mallt ferch Einudd ap Llywarch ap Brân,Mallt ferch Einudd son of Llywarch son of Brân
Q148485,Llywelyn ap Gruffudd ap Llywarch ap Brân,Llywelyn son of Gruffudd son of Llywarch son of Brân
Q148486,Margred ferch Gwyn ap Gruffudd,Margred ferch Gwyn son of Gruffudd
Q148487,Gwenhwyfa ap Ievan,Gwenhwyfa son of Ievan
Q148488,Gwilym ap Gruffudd,Gwilym son of Gruffudd
Q148489,Gruffudd ap Dafydd Goch,Gruffudd son of Dafydd Goch
Q148490,Gronwy Llwyd ab Y Penwyn ap Cynwrig ab Iorwerth,Gronwy Llwyd son of Y Penwyn ap Cynwrig son of Iorwerth
Q148491,Llywarch ap Dafydd Gôch ap Dafydd ap Gruffudd,Llywarch son of Dafydd Gôch son of Dafydd son of Gruffudd
Q148492,Gwenllian ferch Dafydd Gôch ap Dafydd ap Gruffudd,Gwenllian ferch Dafydd Gôch son of Dafydd son of Gruffudd
Q148493,Gwenllian ferch Tudur ab Iorwerth ap Gwrgynon,Gwenllian ferch Tudur son of Iorwerth ap Gwrgynon
Q148494,Rhys ap Dafydd ap Rhys Fychan ap Rhys of Garth Garmon,Rhys son of Dafydd son of Rhys Fychan son of Rhys of Garth Garmon
