id,label_en,translation
Q73088,Ji (Ji) Gong 济(躋)公  Lǐ 李,Ji
Q73094,草彬 (Cǎo Bīn),Cǎo Bīn
Q73211,木安 (Mù ān),Mù ān
Q73214,木義 (Mù Yì),Mù Yì
Q73217,木文 (Mù Wén),Mù Wén
Q73307,花喬 (Huā Qiáo),Huā Qiáo
Q73436,開進 (Kāi Jìn),Kāi Jìn
Q73442,開來 (Kāi Lái)  姬,Kāi Lái
Q73586,賢仔 (Xián Zǐ),Xián Zǐ
Q73589,賢榮 (Xián Róng),Xián Róng
Q73592,賢春 (Xián Chūn),Xián Chūn
Q73595,賢禮 (Xián Lǐ)  姬,Xián Lǐ
Q73739,祁武 (Qí Wǔ),Qí Wǔ
Q73742,祁養 (Qí Yǎng),Qí Yǎng
Q73745,祁義 (Qí Yì)  譚,Qí Yì
Q73935,克正 (Kè Zhèng),Kè Zhèng
Q73941,克錦 (Kè Jǐn)  譚,Kè Jǐn
Q74106,春發 (Chūn Fā)  譚,Chūn Fā
Q74118,世春 (Shì Chūn)  譚,Shì Chūn
Q74250,占梅 (Zhàn Méi)  譚,Zhàn Méi
Q74253,占興 (Zhàn Xìng)  譚,Zhàn Xìng
Q74385,富亦 (Fù Yì)  譚,Fù Yì
Q74388,希亦 (Xī Yì)  譚,Xī Yì
Q74541,儒德 (Rú Dé)  譚,Rú Dé
Q74547,積德 (Jī Dé)  譚,Jī Dé
Q74550,標德 (Biāo Dé)  譚,Biāo Dé
Q74553,恵德 (Huì Dé)  譚,Huì Dé
Q74687,寶珍 (Bǎo Zhēn)  譚,Bǎo Zhēn
Q74845,雪崇 (Xuě Chóng),Xuě Chóng
Q74848,芬崇 (Fēn Chóng),Fēn Chóng
Q74854,方崇 (Fāng Chóng),Fāng Chóng
Q74857,雲崇 (Yún Chóng)  譚,Yún Chóng
Q75034,星照 (Xīng Zhào)  譚,Xīng Zhào
Q75040,星光 (Xīng Guāng),Xīng Guāng
Q75262,軒冕 (Xuān Miǎn)  譚,Xuān Miǎn
Q75448,明相 (Míng Xiāng),Míng Xiāng
Q75451,伍相 (Wǔ Xiāng)  譚,Wǔ Xiāng
Q75609,純菁 (Chún Jīng)  譚,Chún Jīng
Q75755,與方 (Yǔ Fāng)  譚,Yǔ Fāng
Q75899,益裕 (Yì Yù)  譚,Yì Yù
Q76043,維簡 (Wéi Jiǎn)  譚,Wéi Jiǎn
Q76205,時英 (Shí Yīng)  譚,Shí Yīng
Q76348,典書 (Diǎn Shū)  譚,Diǎn Shū
Q76474,濟唐 (Jì Táng)  譚,Jì Táng
Q76624,譚閎 (Tán Hóng)  譚,Tán Hóng
Q76788,大常 (Dà Cháng)  譚,Dà Cháng
Q76971,玉成 (Yù Chéng)  譚,Yù Chéng
Q77121,章憲 (Zhāng Xiàn)  譚,Zhāng Xiàn
Q77280,祥昭 (Xiáng Zhāo)  譚,Xiáng Zhāo
Q77448,綸康 (Lún Kāng)  譚,Lún Kāng
Q77666,承益 (Chéng Yì)  譚,Chéng Yì
Q77975,乃教 (Nǎi Jiào)  譚,Nǎi Jiào
Q78392,分彩 (Fēn Cǎi)  譚,Fēn Cǎi
Q78395,分貞 (Fēn Zhēn),Fēn Zhēn
Q79107,別定 (Bié Dìng)  譚,Bié Dìng
Q79110,分貞 (Fēn Zhēn)'s Son,Fēn Zhēn
Q79743,正玉 (Zhèng Yù),Zhèng Yù
Q79746,正金 (Zhèng Jīn)  譚,Zhèng Jīn
